,weights
Cement,0.01568481240967356
Slag,-0.06645230802776363
FlyAsh,-0.06980709403992066
Water,0.16611554661308195
SP,-0.0046947921954807815
CoarseAggr,0.00764608090279189
FineAggr,-0.0016295514090991445
MODEL_BIAS,0.00654083593151842
