,0
1,0.76425
5,0.7619166666666667
10,0.7560416666666666
50,0.7744583333333334
100,0.7769166666666667
150,0.777
200,0.7770833333333333
250,0.7770833333333333
300,0.7770833333333333
350,0.7770833333333333
400,0.7770833333333333
500,0.7770833333333333
