,0
0,60.010374304500196
1,0.0025209681991925094
2,0.007133137268613523
3,0.006019307825264367
4,0.009594121275444168
5,0.0025203975699039046
6,0.011285802703697742
7,0.009225460966635889
8,0.02508737643283593
9,0.0023757984800132615
10,0.013051138871048498
11,0.006379965537773664
12,0.005181217004567145
13,0.006264009840466059
14,0.0030139093430119122
15,0.004875270297049265
16,0.001210167263294552
17,0.008906743647760746
18,0.0017159653200959466
19,0.005712047472941441
20,0.009168357991499482
21,0.010998177728245703
22,0.005200987687790083
23,0.0240448858113089
24,0.009203005466292711
25,0.005963614337850112
26,0.006952678356990985
27,0.008912899465382644
28,0.0068242141444791625
29,0.010023213787065196
30,0.006683546807966858
31,0.007213350112779864
32,0.00043506740187056344
33,0.0061308119631094905
34,0.030684206021416433
35,0.0044924320907111384
36,0.01240539052357283
37,0.012515280770757451
38,0.00013167907967205736
39,0.004801474375470043
40,0.006785485014782298
41,0.01104142393388794
42,8.860401034219374e-05
43,0.006470973937912462
44,0.022980827552229726
45,0.010340485943216661
46,2.5231898588794302e-05
47,0.00929351719588477
48,0.009651433778735306
49,0.00804505018159174
50,0.0009742927317856913
51,0.012130662947621535
52,0.006359818183985862
53,0.006467183324424701
54,0.0017070874284741615
55,0.005010426205610168
56,0.007407771889728367
57,0.004147563643048979
58,0.003993453698437642
59,0.003721078584709381
60,0.0072605434212632295
61,0.010844182332091907
62,0.010950131920795985
63,0.022260881940638622
64,0.03379213982139238
65,0.02605425386968136
66,0.005090143310516034
67,0.013478617745189249
68,0.027426266694816008
69,0.005654410396478851
70,0.006220098249470297
71,0.004642135848528561
72,0.0031650893587799357
73,0.010395425113751956
74,0.021756524857354416
75,0.009106388600228417
76,0.0023686056586179416
77,0.010098436276082805
78,0.011781948690402609
79,0.013359285067737618
80,0.002429799956131641
81,0.0013474707684978091
82,0.01088172908104035
83,0.02663349894628007
84,0.007122905518494474
85,0.013652232460892475
86,0.006139052911112373
87,0.006625773035239373
88,0.0033436399928372116
89,0.012544544460750456
90,0.00554394695588869
91,0.003614800611132524
92,0.0013976866974527242
93,0.008133649979454696
94,0.006537763728535818
95,0.0029886696369639592
96,0.005389980450134476
97,0.007496287444976908
98,0.004945774937261634
99,0.005756501756907053
100,0.0007606313022002222
101,0.0007266132748806927
102,0.008562112710900295
103,0.007607893765606276
104,0.00548357323199511
105,0.012280667669164108
106,0.005544819271547607
107,0.008711371304812213
108,0.005655161645612686
109,0.007242988297512146
110,0.003000387028070914
111,0.01240465636649773
112,0.006556083381858789
113,0.006286715015242659
114,0.0030590804673039907
115,0.009610651594282617
116,0.0050654917243104745
117,0.008710710146372723
118,0.026960398919965368
119,0.02714812465438051
120,0.002913936967210153
121,0.004089045229894873
122,0.0034427904362329415
123,0.005820181720269463
124,0.01258462288231534
125,0.003652064633938671
126,0.001543470674808575
127,0.004982945738821197
128,0.008469532844312481
129,0.012866152349133159
130,0.006527572571601118
131,0.004051413494214984
132,0.006385294070684457
133,0.0015796391020881145
134,0.02619866630218958
135,0.006128317046076387
136,0.012469511419196205
137,0.00382174530932707
138,0.009412017850828094
139,0.005016741633596468
140,0.0038959630060940473
141,0.0046473470139972535
142,0.025684449898217807
143,0.0020114434053836445
144,0.02628525861972953
145,0.008706915136925173
146,0.006016809865600415
147,0.012434027189553758
148,0.024432917687044035
149,0.009311766793327958
150,0.002551493758527646
151,0.0248908872751507
152,0.004466712623014696
153,0.012475624347136147
154,0.012341553776219302
155,0.00584556937366137
156,0.0026126503132037414
157,0.004278653361881244
158,0.014583597195308965
159,0.01095249507416535
160,0.011255802692417582
161,0.010347400507395056
162,0.004037350717505848
163,0.02397486299242132
164,0.009966117655466534
165,0.014746051644173936
166,0.02335220990760071
167,0.0036900475986897698
168,0.0029525210682638746
169,0.00791520003673734
170,0.009132066323201885
171,0.0012827705126231637
172,0.0029005886776716843
173,0.0017257936888792744
174,0.0028232724905561052
175,0.02352170378999073
176,0.010695284840380712
177,0.0024434602336407684
178,0.00696123982359957
179,0.008509029763555984
180,0.012639920203553671
181,0.011840435287159407
182,0.005530061955086824
183,0.0022467551228935465
184,0.003393386278798254
185,0.0025588399331637705
186,0.005355611601350796
187,0.011274295548908304
188,0.0015512091514887198
