,0
0,60.010374304500196
1,39.12027292920686
2,30.906258380420155
3,27.101767023557525
4,24.713853927675725
5,23.352685653525942
6,22.497252608838938
7,21.974868585058232
8,21.643556347986674
9,21.43324619699701
10,21.29679075871192
11,21.207070487856996
12,21.146808949925592
13,21.10545108232395
14,21.07631188014611
15,21.05518188922285
16,21.039364456397934
17,21.027121340638722
18,21.017317065474163
19,21.009201640105598
20,21.002272919270403
21,20.99619015735368
22,20.990718820984387
23,20.98569519622122
24,20.981003409924032
25,20.97656036243875
26,20.972305721504064
27,20.968195192551683
28,20.96419592992162
29,20.960283364293534
30,20.956438978510377
31,20.952648727120327
32,20.948901898855002
33,20.94519028815051
34,20.941507585240355
35,20.937848922861182
36,20.934210536548417
37,20.93058950823796
38,20.926983571573412
39,20.923390963319218
40,20.919810309484273
41,20.916240537744997
42,20.912680809902692
43,20.90913046967162
44,20.905589002242014
45,20.90205600291477
46,20.898531152742567
47,20.895014199593625
48,20.891504943418852
49,20.88800322478209
50,20.884508915925895
51,20.881021913809533
52,20.877542134681818
53,20.874069509849413
54,20.87060398237644
55,20.867145504509885
56,20.863694035671156
57,20.860249540888784
58,20.85681198957549
59,20.853381354573802
60,20.849957611411135
61,20.846540737718417
62,20.84313071277634
63,20.839727517161084
64,20.83633113246784
65,20.832941541094954
66,20.829558726075387
67,20.826182670945197
68,20.82281335964078
69,20.819450776418677
70,20.816094905793012
71,20.812745732486448
72,20.809403241392136
73,20.806067417543794
74,20.8027382460924
75,20.799415712287995
76,20.79609980146545
77,20.792790499033288
78,20.789487790465014
79,20.786191661292285
80,20.782902097099555
81,20.77961908351988
82,20.776342606231637
83,20.773072650955946
84,20.76980920345463
85,20.76655224952857
86,20.76330177501646
87,20.76005776579381
88,20.75682020777208
89,20.753589086898064
90,20.750364389153358
91,20.747146100553923
92,20.74393420714976
93,20.74072869502454
94,20.737529550295445
95,20.73433675911288
96,20.73115030766035
97,20.727970182154248
98,20.72479636884373
99,20.72162885401059
100,20.718467623969136
101,20.715312665066058
102,20.712163963680354
103,20.709021506223188
104,20.70588527913784
105,20.70275526889959
106,20.699631462015603
107,20.696513845024903
108,20.693402404498197
109,20.690297127037887
110,20.6871979992779
111,20.684105007883673
112,20.68101813955201
113,20.67793738101104
114,20.674862719020147
115,20.67179414036982
116,20.66873163188165
117,20.665675180408204
118,20.662624772832967
119,20.659580396070236
120,20.656542037065073
121,20.65350968279321
122,20.65048332026095
123,20.647462936505136
124,20.64444851859303
125,20.641440053622254
126,20.63843752872069
127,20.63544093104645
128,20.63245024778775
129,20.629465466162863
130,20.626486573420006
131,20.62351355683731
132,20.620546403722717
133,20.617585101413898
134,20.6146296372782
135,20.611679998712535
136,20.608736173143363
137,20.605798148026526
138,20.602865910847285
139,20.599939449120132
140,20.597018750388802
141,20.594103802226154
142,20.591194592234114
143,20.588291108043588
144,20.585393337314386
145,20.582501267735186
146,20.57961488702339
147,20.57673418292513
148,20.573859143215135
149,20.57098975569668
150,20.568126008201528
151,20.565267888589815
152,20.56241538475005
153,20.559568484598945
154,20.556727176081434
155,20.553891447170535
156,20.551061285867338
157,20.54823668020087
158,20.545417618228083
159,20.542604088033745
160,20.539796077730365
161,20.53699357545817
162,20.534196569384978
163,20.531405047706162
164,20.528618998644568
165,20.525838410450444
166,20.52306327140139
167,20.520293569802252
168,20.51752929398509
169,20.514770432309078
170,20.512016973160467
171,20.509268904952478
172,20.506526216125287
173,20.503788895145895
174,20.5010569305081
175,20.498330310732424
176,20.49560902436603
177,20.49289305998268
178,20.49018240618264
179,20.487477051592634
180,20.484776984865768
181,20.482082194681443
182,20.479392669745355
183,20.47670839878935
184,20.474029370571383
185,20.471355573875496
186,20.468686997511686
187,20.466023630315892
188,20.46336546114988
189,20.460712478901247
190,20.458064672483275
191,20.455422030834924
192,20.452784542920753
193,20.450152197730844
194,20.447524984280737
195,20.444902891611406
196,20.442285908789124
197,20.439674024905468
198,20.43706722907721
199,20.434465510446277
200,20.431868858179676
201,20.429277261469448
202,20.426690709532586
203,20.424109191610953
204,20.42153269697128
205,20.41896121490507
206,20.416394734728506
207,20.413833245782456
208,20.41127673743233
209,20.40872519906809
210,20.406178620104157
211,20.403636989979354
212,20.401100298156827
213,20.398568534124028
214,20.3960416873926
215,20.393519747498353
216,20.391002704001203
217,20.388490546485095
218,20.38598326455794
219,20.383480847851587
220,20.380983286021728
221,20.378490568747843
222,20.37600268573317
223,20.373519626704628
224,20.37104138141272
225,20.368567939631543
226,20.36609929115868
227,20.363635425815172
228,20.361176333445417
229,20.358722003917173
230,20.35627242712142
231,20.353827592972408
232,20.351387491407475
233,20.3489521123871
234,20.346521445894773
235,20.344095481936986
236,20.341674210543133
237,20.339257621765476
238,20.33684570567908
239,20.33443845238179
240,20.332035851994117
241,20.329637894659204
242,20.32724457054281
243,20.324855869833186
244,20.322471782741086
245,20.32009229949963
246,20.31771741036435
247,20.315347105613043
248,20.312981375545778
249,20.31062021048479
250,20.308263600774477
251,20.305911536781313
252,20.30356400889379
253,20.30122100752238
254,20.29888252309947
255,20.296548546079308
256,20.294219066937966
257,20.291894076173257
258,20.28957356430471
259,20.287257521873492
260,20.284945939442373
261,20.282638807595642
262,20.280336116939118
263,20.278037858100024
264,20.27574402172696
265,20.273454598489874
266,20.27116957907999
267,20.268888954209743
268,20.266612714612755
269,20.264340851043748
270,20.26207335427853
271,20.25981021511392
272,20.257551424367687
273,20.255296972878522
274,20.253046851505992
275,20.250801051130434
276,20.248559562652975
277,20.24632237699545
278,20.244089485100314
